Date,African Country,Temperature (°C),Humidity (%),NDVI,Soil Moisture (%),Livestock Density (per km²),Disease Incidence,Vector Population (per km²),Vaccination Rate (%),Outbreak Risk (1-5),Disease Name,Symptoms
10/31/2011,South Africa,30.05358046,68.24579409,0.83669792,34.62583021,54.62178725,506,325.4967988,91.12380846,4,Rift Valley Fever,Nasal discharge and salivation
8/31/2017,Kenya,34.9298281,70.9804064,0.545410314,28.22380802,14.54504446,989,441.9711252,83.41737792,1,Anthrax,Bloody discharge
5/31/2012,Ethiopia,39.71300908,56.33828524,0.396377682,30.20127878,17.9962493,956,217.3940116,39.55431051,3,East Coast Fever,Enlarged lymph nodes
1/31/2011,South Africa,27.27259205,37.62363076,0.265066975,13.69711989,76.59697362,975,276.9477248,99.40032436,4,Lumpy Skin Disease,Nodules on the skin
2/28/2010,South Africa,37.21461167,35.63891639,0.479169312,37.89412433,34.83991782,458,297.7935421,92.68100173,4,Anthrax,Bloody discharge
5/31/2012,Ethiopia,39.71300908,56.33828524,0.396377682,30.20127878,17.9962493,956,217.3940116,39.55431051,3,East Coast Fever,Enlarged lymph nodes
3/31/2012,Tanzania,22.89789744,77.71117169,0.247616815,13.02379883,98.45581589,526,372.3952537,36.71823471,5,Anthrax,Bloody discharge
2/28/2014,Ethiopia,23.48732858,75.47076663,0.361997882,37.28747834,38.9307143,685,252.9175961,23.40926704,5,Avian Influenza,Respiratory distress
11/30/2017,Kenya,33.15225785,80.69251866,0.715594347,10.20319547,19.32815996,365,224.9400093,20.107391,5,Anthrax,Bloody discharge
7/31/2022,Kenya,35.96590358,67.0930838,0.285770156,12.27601893,76.9516406,427,9.74047944,84.86768019,4,Lumpy Skin Disease,Nodules on the skin
4/30/2017,Kenya,24.48538619,34.16167805,0.306322262,17.68378647,59.43283602,720,299.7582761,26.67056019,1,Rift Valley Fever,Nasal discharge and salivation
8/31/2013,Uganda,31.81785886,74.273815,0.293976403,26.40089824,60.14389711,656,480.4294952,58.81272985,4,Lumpy Skin Disease,Nodules on the skin
